Id,Symbol,Name,Display Symbol,Exchange,Portfolio,Currency,Shares Owned,Cost Per Share,Commission,Transaction Date,Transaction Time,Purchase Exchange Rate,Type,Accounting,Accounting Execution Ids,Notes,OutgoingCashLink

"1","DIS","Walt Disney Company (The)",,"NYQ","TFSA","USD",,,,,,,,,,,
"2","DIS","Walt Disney Company (The)",,"NYQ","TFSA","USD","5","139.5","9.95","2019-09-09 GMT+0200","06:00:00",,"Buy",,,,
"3","DIS","Walt Disney Company (The)",,"NYQ","TFSA","USD","4.4","1","0","2020-01-16 GMT+0200","07:00:00",,"Dividend","FIFO",,,
"4","DIS","Walt Disney Company (The)",,"NYQ","TFSA","USD","5","119.98","9.95","2020-02-27 GMT+0200","07:00:00",,"Sell","FIFO",,,

"5","COST","Costco Wholesale Corporation",,"NMS","TFSA","USD",,,,,,,,,,,
"6","COST","Costco Wholesale Corporation",,"NMS","TFSA","USD","3","304.75","9.95","2019-09-09 GMT+0200","06:00:00","1.31686","Buy",,,,
"7","COST","Costco Wholesale Corporation",,"NMS","TFSA","USD","1.66","0","0","2019-11-15 GMT+0200","07:00:00",,"Dividend","FIFO",,,
"8","COST","Costco Wholesale Corporation",,"NMS","TFSA","USD","1.66","0","0","2020-02-21 GMT+0200","07:00:00",,"Dividend","FIFO",,,
"9","COST","Costco Wholesale Corporation",,"NMS","TFSA","USD","3","301.98","9.95","2020-02-27 GMT+0200","07:00:00","1.30536","Sell","FIFO",,,
"10","COST","Costco Wholesale Corporation",,"NMS","TFSA","USD","3","297.6933","9.95","2020-03-02 GMT+0200","07:00:00","1.34047","Buy",,,,
"11","COST","Costco Wholesale Corporation",,"NMS","TFSA","USD","1.79","0","0","2020-05-15 GMT+0200","06:00:00",,"Dividend","FIFO",,,
"12","COST","Costco Wholesale Corporation",,"NMS","TFSA","USD","1.79","0","0","2020-08-14 GMT+0200","13:30:00",,"Dividend","FIFO",,,
"13","COST","Costco Wholesale Corporation",,"NMS","TFSA","USD","1.79","0","0","2020-11-13 GMT+0200","16:39:00",,"Dividend","FIFO",,,
"14","COST","Costco Wholesale Corporation",,"NMS","TFSA","USD","25.5","0","0","2020-12-11 GMT+0200","16:49:00",,"Dividend","FIFO",,,
"15","COST","Costco Wholesale Corporation",,"NMS","TFSA","USD","1.79","0","0","2021-02-19 GMT+0200","18:21:00",,"Dividend","FIFO",,,
"16","COST","Costco Wholesale Corporation",,"NMS","TFSA","USD","2.02","0","0","2021-05-14 GMT+0200","15:52:00","0","Dividend","FIFO",,,
"17","COST","Costco Wholesale Corporation",,"NMS","TFSA","USD","2.02","0","0","2021-08-13 GMT+0200","20:34:00",,"Dividend","FIFO",,,
"18","COST","Costco Wholesale Corporation",,"NMS","TFSA","USD","2.02","0","0","2021-11-12 GMT+0200","20:44:00",,"Dividend","FIFO",,,
"19","COST","Costco Wholesale Corporation",,"NMS","TFSA","USD","2.02","0","0","2022-02-18 GMT+0200","18:30:00",,"Dividend","FIFO",,,
"20","COST","Costco Wholesale Corporation",,"NMS","TFSA","USD","2.3","0","0","2022-05-13 GMT+0200","16:14:00",,"Dividend","FIFO",,,
"21","COST","Costco Wholesale Corporation",,"NMS","TFSA","USD","2.3","0","0","2022-08-12 GMT+0200","15:46:00","0","Dividend","FIFO",,,
"22","COST","Costco Wholesale Corporation",,"NMS","TFSA","USD","2.3","0","0","2022-11-10 GMT+0200","07:30:00","0","Dividend","FIFO",,,
"23","COST","Costco Wholesale Corporation",,"NMS","TFSA","USD","2.3","0","0","2023-02-17 GMT+0200","03:55:00","0","Dividend","FIFO",,,
"24","COST","Costco Wholesale Corporation",,"NMS","TFSA","USD","2.61","0","0","2023-05-19 GMT+0200","22:18:00","0","Dividend","FIFO",,,
"25","COST","Costco Wholesale Corporation",,"NMS","TFSA","USD","2.61","0","0","2023-09-08 GMT+0200","15:57:00","0","Dividend","FIFO",,,
"26","COST","Costco Wholesale Corporation",,"NMS","TFSA","USD","2.61","0","0","2023-11-17 GMT+0200","17:31:00","0","Dividend","FIFO",,,
"27","COST","Costco Wholesale Corporation",,"NMS","TFSA","USD","38.25","0","0","2024-01-12 GMT+0200","21:59:00","0","Dividend","FIFO",,,
"28","COST","Costco Wholesale Corporation",,"NMS","TFSA","USD","2.61","0","0","2024-02-16 GMT+0200","16:25:00","0","Dividend","FIFO",,,
"29","COST","Costco Wholesale Corporation",,"NMS","TFSA","USD","2.96","0","0","2024-05-11 GMT+0200","00:14:00","0","Dividend","FIFO",,,
"30","COST","Costco Wholesale Corporation",,"NMS","TFSA","USD","2.96","0","0","2024-08-11 GMT+0200","03:43:00","0","Dividend","FIFO",,,
"31","COST","Costco Wholesale Corporation",,"NMS","TFSA","USD","2.96","0","0","2024-11-15 GMT+0200","16:52:00","0","Dividend","FIFO",,,
"32","COST","Costco Wholesale Corporation",,"NMS","TFSA","USD","2.96","0","0","2025-02-21 GMT+0200","18:19:00","0","Dividend","FIFO",,,
"33","COST","Costco Wholesale Corporation",,"NMS","TFSA","USD","3.32","0","0","2025-05-16 GMT+0200","17:18:00","0","Dividend","FIFO",,,
"34","COST","Costco Wholesale Corporation",,"NMS","TFSA","USD","3.32","0","0","2025-11-14 GMT+0200","22:32:00",,"Dividend","FIFO",,,
"35","COST","Costco Wholesale Corporation",,"NMS","TFSA","USD","3.32","0","0","2026-02-13 GMT+0200","22:25:00",,"Dividend","FIFO",,,
"36","COST","Costco Wholesale Corporation",,"NMS","TFSA","USD","3.32","0","0","2825-08-15 GMT+0200","21:42:00",,"Dividend","FIFO",,,

"37","WEED.TO","Canopy Growth Corporation",,"TOR","TFSA","CAD",,,,,,,,,,,
"38","WEED.TO","Canopy Growth Corporation",,"TOR","TFSA","CAD","23","37.1","9.95","2019-09-09 GMT+0200","06:00:00",,"Buy",,,,
"39","WEED.TO","Canopy Growth Corporation",,"TOR","TFSA","CAD","23","25.7","9.95","2020-02-27 GMT+0200","07:00:00",,"Sell","FIFO",,,

"40","MSFT","Microsoft Corporation","Microsoft","NMS","TFSA","USD",,,,,,,,,,,
"41","MSFT","Microsoft Corporation","Microsoft","NMS","TFSA","USD","2","173.8","9.95","2020-03-03 GMT+0200","07:00:00","1.33248","Buy",,,,
"42","MSFT","Microsoft Corporation","Microsoft","NMS","TFSA","USD","0.87","0","0","2020-06-11 GMT+0200","06:00:00",,"Dividend","FIFO",,,
"43","MSFT","Microsoft Corporation","Microsoft","NMS","TFSA","USD","0.87","0","0","2020-09-10 GMT+0200","21:05:00",,"Dividend","FIFO",,,
